iter	Passed	Remaining
127	6035	41118
128	6078	41039
129	6119	40952
130	6166	40903
131	6207	40821
132	6249	40738
133	6292	40666
134	6335	40591
135	6376	40510
136	6418	40434
137	6463	40371
138	6504	40292
139	6546	40214
140	6588	40138
141	6629	40057
142	6673	39991
143	6716	39928
144	6758	39851
145	6802	39788
146	6850	39750
147	6893	39684
148	6935	39613
149	6976	39533
150	7017	39458
151	7059	39382
152	7099	39303
153	7146	39258
154	7188	39191
155	7231	39123
156	7272	39051
157	7314	38979
158	7357	38916
159	7398	38843
160	7440	38774
161	7482	38704
162	7523	38631
163	7565	38565
164	7606	38494
165	7648	38428
166	7689	38355
167	7732	38293
168	7775	38232
169	7819	38176
170	7861	38113
171	7903	38045
172	7945	37980
173	7988	37923
174	8030	37857
175	8071	37790
176	8113	37723
177	8154	37655
178	8196	37596
179	8237	37527
180	8279	37461
181	8320	37394
182	8361	37331
183	8404	37273
184	8445	37206
185	8488	37148
186	8530	37086
187	8596	37128
188	8653	37133
189	8700	37089
190	8741	37025
191	8783	36963
192	8825	36904
193	8867	36840
194	8908	36778
195	8951	36718
196	8993	36657
197	9035	36598
198	9077	36539
199	9121	36486
200	9163	36425
201	9204	36361
202	9246	36303
203	9288	36242
204	9329	36182
205	9370	36118
206	9412	36058
207	9457	36011
208	9500	35956
209	9543	35899
210	9584	35840
211	9625	35779
212	9668	35721
213	9709	35663
214	9752	35607
215	9793	35546
216	9835	35488
217	9878	35436
218	9921	35381
219	9962	35322
220	10004	35263
221	10048	35213
222	10090	35157
223	10132	35102
224	10174	35045
225	10216	34987
226	10263	34949
227	10304	34892
228	10348	34840
229	10389	34783
230	10430	34724
231	10472	34669
232	10514	34612
233	10556	34557
234	10598	34501
235	10643	34454
236	10684	34398
237	10728	34349
238	10770	34293
239	10812	34240
240	10853	34182
241	10895	34126
242	10936	34069
243	10979	34018
244	11021	33963
245	11063	33910
246	11105	33854
247	11146	33799
248	11188	33744
249	11229	33688
250	11271	33633
251	11313	33579
252	11354	33525
253	11397	33473
254	11440	33423
255	11481	33367
256	11523	33313
257	11565	33260
258	11607	33209
259	11649	33155
260	11690	33100
261	11731	33046
262	11773	32993
263	11815	32939
264	11856	32884
265	11897	32831
266	11939	32776
267	11981	32724
268	12022	32670
269	12063	32615
270	12104	32562
271	12146	32509
272	12187	32456
273	12229	32404
274	12270	32350
275	12314	32302
276	12355	32249
277	12400	32205
278	12442	32153
279	12483	32099
280	12524	32047
281	12569	32002
282	12610	31949
283	12652	31898
284	12693	31845
285	12736	31797
286	12780	31752
287	12823	31702
288	12867	31656
289	12909	31605
290	12955	31566
291	12998	31516
292	13041	31468
293	13084	31420
294	13125	31367
295	13167	31316
296	13208	31264
297	13251	31216
298	13293	31165
299	13335	31115
300	13376	31064
301	13420	31018
302	13463	30969
303	13504	30919
304	13546	30867
305	13588	30818
306	13629	30767
307	13672	30718
308	13719	30681
309	13762	30633
310	13804	30582
311	13846	30532
312	13888	30482
313	13931	30435
314	13972	30384
315	14013	30333
316	14055	30283
317	14097	30233
318	14141	30189
319	14182	30137
320	14223	30085
321	14264	30034
322	14305	29983
323	14348	29937
324	14393	29893
325	14435	29844
326	14479	29799
327	14520	29749
328	14562	29701
329	14604	29651
330	14645	29600
331	14687	29551
332	14728	29501
333	14770	29452
334	14819	29418
335	14861	29369
336	14903	29319
337	14944	29270
338	14987	29223
339	15028	29172
340	15069	29123
341	15114	29079
342	15155	29030
343	15197	28981
344	15239	28933
345	15282	28886
346	15323	28837
347	15365	28788
348	15409	28743
349	15450	28693
350	15492	28645
351	15533	28595
352	15575	28546
353	15616	28498
354	15657	28448
355	15699	28400
356	15740	28351
357	15781	28301
358	15824	28254
359	15865	28205
360	15907	28157
361	15948	28107
362	15989	28059
363	16033	28015
364	16075	27966
365	16117	27919
366	16158	27870
367	16199	27820
368	16240	27772
369	16282	27723
370	16327	27681
371	16369	27634
372	16410	27585
373	16452	27537
374	16497	27495
375	16538	27446
376	16579	27397
377	16621	27351
378	16663	27303
379	16704	27255
380	16746	27207
381	16787	27159
382	16829	27111
383	16871	27063
384	16912	27015
385	16953	26966
386	16996	26921
387	17037	26874
388	17079	26826
389	17121	26779
390	17162	26731
391	17204	26684
392	17245	26636
393	17287	26589
394	17328	26540
395	17368	26492
396	17410	26444
397	17451	26396
398	17493	26349
399	17534	26301
400	17575	26253
401	17616	26206
402	17657	26158
403	17700	26113
404	17743	26066
405	17784	26019
406	17825	25972
407	17867	25924
408	17909	25878
409	17951	25832
410	17994	25787
411	18035	25739
412	18076	25692
413	18119	25647
414	18160	25599
415	18201	25552
416	18243	25505
417	18285	25459
418	18326	25412
419	18367	25364
420	18411	25321
421	18454	25275
422	18495	25229
423	18536	25182
424	18578	25135
425	18620	25089
426	18662	25043
427	18704	24997
428	18751	24957
429	18792	24911
430	18833	24864
431	18874	24816
432	18916	24770
433	18962	24729
434	19003	24682
435	19044	24635
436	19084	24587
437	19126	24541
438	19169	24496
439	19210	24449
440	19253	24404
441	19294	24358
442	19335	24311
443	19377	24265
444	19420	24220
445	19463	24176
446	19507	24133
447	19550	24088
448	19598	24050
449	19641	24006
450	19686	23964
451	19730	23920
452	19775	23879
453	19820	23836
454	19864	23793
455	19908	23750
456	19952	23707
457	19996	23664
458	20041	23621
459	20086	23579
460	20131	23537
461	20173	23492
462	20214	23445
463	20256	23399
464	20298	23353
465	20339	23307
466	20381	23261
467	20423	23216
468	20465	23171
469	20509	23127
470	20552	23083
471	20593	23036
472	20634	22990
473	20676	22944
474	20719	22899
475	20761	22854
476	20802	22808
477	20845	22764
478	20886	22718
479	20928	22672
480	20970	22627
481	21012	22582
482	21054	22536
483	21095	22490
484	21137	22445
485	21179	22399
486	21220	22353
487	21261	22307
488	21304	22263
489	21347	22218
490	21389	22173
491	21430	22127
492	21471	22080
493	21517	22039
494	21558	21993
495	21598	21947
496	21639	21901
497	21681	21855
498	21725	21812
499	21768	21768
500	21810	21723
501	21851	21677
502	21893	21632
503	21935	21587
504	21977	21541
505	22018	21496
506	22060	21450
507	22101	21405
508	22142	21359
509	22184	21314
510	22226	21270
511	22268	21225
512	22310	21179
513	22352	21134
514	22395	21090
515	22436	21044
516	22477	20999
517	22519	20954
518	22560	20909
519	22601	20863
520	22643	20817
521	22685	20772
522	22726	20727
523	22769	20683
524	22810	20638
525	22851	20592
526	22892	20546
527	22934	20501
528	22976	20457
529	23017	20411
530	23059	20367
531	23100	20321
532	23142	20277
533	23185	20233
534	23228	20188
535	23272	20146
536	23313	20100
537	23354	20055
538	23396	20010
539	23437	19965
540	23478	19920
541	23519	19874
542	23561	19829
543	23603	19785
544	23647	19742
545	23688	19697
546	23729	19651
547	23771	19607
548	23814	19563
549	23875	19534
550	23928	19498
551	23982	19464
552	24033	19426
553	24074	19381
554	24115	19336
555	24157	19291
556	24198	19246
557	24240	19201
558	24282	19156
559	24323	19111
560	24364	19066
561	24406	19021
562	24448	18977
563	24489	18931
564	24531	18886
565	24572	18841
566	24613	18796
567	24656	18752
568	24697	18707
569	24749	18670
570	24793	18627
571	24835	18583
572	24880	18541
573	24922	18496
574	24963	18451
575	25004	18406
576	25046	18361
577	25090	18318
578	25133	18274
579	25174	18229
580	25216	18185
581	25257	18140
582	25299	18095
583	25341	18051
584	25382	18006
585	25423	17961
586	25464	17916
587	25506	17871
588	25548	17827
589	25589	17782
590	25630	17737
591	25675	17695
592	25717	17650
593	25758	17605
594	25799	17560
595	25842	17517
596	25884	17473
597	25926	17428
598	25967	17383
599	26008	17339
600	26051	17295
601	26092	17250
602	26134	17206
603	26176	17162
604	26217	17117
605	26259	17073
606	26301	17028
607	26343	16984
608	26385	16940
609	26426	16895
610	26468	16851
611	26509	16806
612	26551	16762
613	26592	16717
614	26634	16673
615	26676	16629
616	26717	16584
617	26759	16540
618	26800	16496
619	26843	16452
620	26885	16408
621	26927	16364
622	26969	16320
623	27011	16276
624	27052	16231
625	27094	16187
626	27136	16143
627	27179	16100
628	27221	16055
629	27261	16010
630	27303	15966
631	27349	15924
632	27391	15881
633	27432	15836
634	27474	15792
635	27515	15747
636	27557	15703
637	27602	15661
638	27644	15617
639	27685	15573
640	27727	15528
641	27768	15484
642	27810	15440
643	27851	15396
644	27892	15351
645	27934	15307
646	27975	15263
647	28018	15219
648	28061	15176
649	28102	15132
650	28143	15087
651	28184	15043
652	28226	14999
653	28268	14955
654	28309	14911
655	28354	14869
656	28395	14824
657	28440	14782
658	28481	14737
659	28524	14694
660	28565	14650
661	28607	14606
662	28652	14564
663	28693	14519
664	28735	14475
665	28776	14431
666	28817	14387
667	28859	14343
668	28904	14300
669	28946	14257
670	28987	14213
671	29029	14168
672	29070	14125
673	29112	14081
674	29153	14036
675	29195	13993
676	29236	13948
677	29278	13904
678	29319	13861
679	29360	13816
680	29403	13773
681	29444	13729
682	29485	13685
683	29528	13641
684	29570	13598
685	29611	13554
686	29652	13509
687	29694	13466
688	29735	13422
689	29778	13378
690	29820	13335
691	29862	13291
692	29904	13247
693	29945	13203
694	29986	13159
695	30027	13115
696	30070	13072
697	30111	13028
698	30153	12984
699	30195	12941
700	30237	12897
701	30278	12853
702	30321	12810
703	30363	12766
704	30406	12723
705	30447	12679
706	30490	12636
707	30535	12593
708	30576	12549
709	30618	12506
710	30659	12462
711	30700	12418
712	30744	12375
713	30785	12331
714	30826	12287
715	30868	12243
716	30909	12199
717	30951	12156
718	30993	12112
719	31036	12069
720	31077	12025
721	31118	11982
722	31160	11938
723	31202	11894
724	31243	11850
725	31284	11806
726	31325	11763
727	31366	11719
728	31408	11675
729	31449	11631
730	31490	11588
731	31531	11544
732	31573	11500
733	31615	11457
734	31656	11413
735	31697	11369
736	31739	11326
737	31781	11282
738	31822	11239
739	31863	11195
740	31905	11151
741	31947	11108
742	31988	11064
743	32030	11021
744	32070	10977
745	32112	10933
746	32154	10890
747	32196	10846
748	32237	10803
749	32280	10760
750	32329	10719
751	32379	10678
752	32421	10634
753	32463	10591
754	32511	10550
755	32555	10507
756	32597	10463
757	32639	10420
758	32681	10377
759	32723	10333
760	32766	10290
761	32808	10247
762	32851	10204
763	32893	10160
764	32934	10117
765	32975	10073
766	33017	10030
767	33059	9986
768	33100	9942
769	33141	9899
770	33182	9855
771	33224	9812
772	33265	9768
773	33306	9725
774	33348	9681
775	33389	9638
776	33430	9594
777	33473	9551
778	33515	9508
779	33556	9464
780	33597	9421
781	33639	9377
782	33681	9334
783	33723	9291
784	33764	9247
785	33806	9204
786	33847	9160
787	33903	9121
788	33945	9077
789	33987	9034
790	34031	8991
791	34086	8952
792	34127	8908
793	34169	8865
794	34211	8821
795	34252	8778
796	34294	8734
797	34337	8691
798	34378	8648
799	34420	8605
800	34462	8561
801	34503	8518
802	34544	8474
803	34586	8431
804	34627	8387
805	34668	8344
806	34710	8301
807	34753	8258
808	34794	8214
809	34837	8171
810	34879	8128
811	34921	8085
812	34963	8041
813	35004	7998
814	35046	7955
815	35087	7911
816	35129	7868
817	35173	7825
818	35216	7782
819	35257	7739
820	35299	7696
821	35341	7653
822	35387	7610
823	35431	7567
824	35476	7525
825	35521	7482
826	35566	7440
827	35613	7397
828	35657	7355
829	35701	7312
830	35745	7269
831	35789	7226
832	35840	7185
833	35884	7142
834	35929	7099
835	35973	7056
836	36019	7014
837	36063	6971
838	36108	6929
839	36153	6886
840	36197	6843
841	36239	6800
842	36281	6757
843	36322	6713
844	36364	6670
845	36406	6627
846	36452	6584
847	36494	6541
848	36535	6498
849	36576	6454
850	36619	6411
851	36661	6368
852	36703	6325
853	36747	6282
854	36788	6238
855	36830	6195
856	36872	6152
857	36913	6109
858	36955	6066
859	36996	6022
860	37037	5979
861	37078	5936
862	37121	5892
863	37163	5849
864	37205	5806
865	37246	5763
866	37289	5720
867	37331	5677
868	37372	5633
869	37413	5590
870	37454	5547
871	37496	5504
872	37537	5460
873	37579	5417
874	37620	5374
875	37662	5331
876	37703	5287
877	37745	5244
878	37787	5201
879	37828	5158
880	37869	5115
881	37910	5071
882	37952	5028
883	37995	4985
884	38036	4942
885	38078	4899
886	38120	4856
887	38161	4813
888	38203	4770
889	38244	4726
890	38286	4683
891	38328	4640
892	38369	4597
893	38410	4554
894	38452	4511
895	38493	4467
896	38534	4424
897	38586	4382
898	38633	4340
899	38675	4297
900	38716	4254
901	38759	4211
902	38800	4167
903	38841	4124
904	38883	4081
905	38924	4038
906	38966	3995
907	39008	3952
908	39050	3909
909	39091	3866
910	39134	3823
911	39176	3780
912	39218	3737
913	39259	3693
914	39303	3651
915	39344	3608
916	39386	3564
917	39427	3521
918	39469	3478
919	39511	3435
920	39553	3392
921	39595	3349
922	39638	3306
923	39679	3263
924	39720	3220
925	39762	3177
926	39804	3134
927	39846	3091
928	39888	3048
929	39929	3005
930	39972	2962
931	40013	2919
932	40055	2876
933	40096	2833
934	40137	2790
935	40178	2747
936	40220	2704
937	40262	2661
938	40303	2618
939	40345	2575
940	40386	2532
941	40428	2489
942	40471	2446
943	40512	2403
944	40553	2360
945	40594	2317
946	40635	2274
947	40677	2231
948	40718	2188
949	40760	2145
950	40801	2102
951	40843	2059
952	40885	2016
953	40927	1973
954	40968	1930
955	41009	1887
956	41050	1844
957	41093	1801
958	41133	1758
959	41175	1715
960	41216	1672
961	41258	1629
962	41300	1586
963	41343	1543
964	41385	1501
965	41426	1458
966	41468	1415
967	41509	1372
968	41551	1329
969	41592	1286
970	41633	1243
971	41675	1200
972	41716	1157
973	41757	1114
974	41798	1071
975	41839	1028
976	41885	986
977	41927	943
978	41970	900
979	42012	857
980	42053	814
981	42094	771
982	42135	728
983	42178	685
984	42227	643
985	42268	600
986	42310	557
987	42351	514
988	42393	471
989	42434	428
990	42474	385
991	42516	342
992	42558	300
993	42599	257
994	42640	214
995	42682	171
996	42724	128
997	42767	85
998	42808	42
999	42848	0
